SectorStatID,Quartier,Places Mat ss,Places Prim ss,SectorStatID2
21001A83-,Moortebeek - Peterbos,0.0,251.0,21001A83-
21001A41-,Scherdemael,0.0,0.0,21001A41-
21001C512,Vogelenzang - Erasme,0.0,206.0,21001C512
21001A80-,Scherdemael,0.0,92.0,21001A80-
21001B20-,Cureghem Bara,0.0,4.0,21001B20-
21001B25-,Cureghem Vétérinaire,0.0,28.0,21001B25-
21001A72-,Machtens,0.0,0.0,21001A72-
21001A92-,Scheut,0.0,36.0,21001A92-
21002A10-,Transvaal,0.0,18.0,21002A10-
21004B421,Squares,0.0,23.0,21004B421
21004B43-,Squares,0.0,376.0,21004B43-
21004A70-,Marolles,0.0,80.0,21004A70-
21004A14-,Sablon,0.0,198.0,21004A14-
21004A21-,Anneessens,0.0,269.0,21004A21-
21004E70-,Vieux Laeken Est,0.0,63.0,21004E70-
21004E201,Mutsaard,0.0,493.0,21004E201
21004E72-,Vieux Laeken Est,0.0,90.0,21004E72-
21005A14-,Saint-Michel,0.0,544.0,21005A14-
21005A20-,Porte Tervueren,0.0,0.0,21005A20-
21005A15-,Saint-Michel,0.0,380.0,21005A15-
21006A201,Paduwa,0.0,0.0,21006A201
21006A23-,Paduwa,0.0,0.0,21006A23-
21006A101,Conscience,0.0,193.0,21006A101
21006A001,Paix,0.0,0.0,21006A001
21013A101,Porte de Hal,0.0,0.0,21013A101
21013A01-,Haut Saint-Gilles,0.0,75.0,21013A01-
21013A40-,Haut Saint-Gilles,0.0,11.0,21013A40-
21013A41-,Haut Saint-Gilles,0.0,55.0,21013A41-
21013A00-,Haut Saint-Gilles,0.0,85.0,21013A00-
21014A05-,Saint-Josse Centre,0.0,45.0,21014A05-
21015A52-,Porte Tervueren,0.0,179.0,21015A52-
21015A20-,Helmet,0.0,45.0,21015A20-
21016A901,Globe,0.0,0.0,21016A901
21016A81-,Churchill,0.0,0.0,21016A81-
21016A82-,Churchill,0.0,87.0,21016A82-
21016A232,Montjoie - Langeveld,0.0,28.0,21016A232
21016A831,Montjoie - Langeveld,0.0,203.0,21016A831
21016A03-,Globe,0.0,51.0,21016A03-
21016A02-,Globe,0.0,97.0,21016A02-
21016A933,Vossegat - Roosendaal,0.0,28.0,21016A933
21016A701,Kalevoet - Moensberg,0.0,65.0,21016A701
21016A64-,Kalevoet - Moensberg,0.0,0.0,21016A64-
21016A05-,Molière - Longchamp,0.0,39.0,21016A05-
21016A01-,Dieweg,0.0,31.0,21016A01-
21016A00-,Globe,0.0,187.0,21016A00-
21016A102,Observatoire,0.0,121.0,21016A102
21016A12-,Observatoire,0.0,117.0,21016A12-
21016A322,Fort Jaco,0.0,97.0,21016A322
21016A400,Saint-Job Kauwberg,0.0,190.0,21016A400
21016A429,Saint-Job Kauwberg,0.0,29.0,21016A429
21016A639,Kriekenput - Homborch - Verrewinkel,0.0,205.0,21016A639
21016A342,Vivier d'Oie,0.0,834.0,21016A342
21016A311,Fort Jaco,0.0,474.0,21016A311
21017A11-,Trois Tilleuls,0.0,20.0,21017A11-
21017A230,Boitsfort Centre,0.0,50.0,21017A230
21017A41-,Boondael,0.0,60.0,21017A41-
21017A01-,Boitsfort Centre,0.0,75.0,21017A01-
21017A12-,Trois Tilleuls,0.0,34.0,21017A12-
21017A000,Boitsfort Centre,0.0,39.0,21017A000
21017A041,Boitsfort Centre,0.0,27.0,21017A041
21018A20-,Georges Henri,0.0,98.0,21018A20-
21018A72-,Porte Tervueren,0.0,357.0,21018A72-
21018A21-,Georges Henri,0.0,105.0,21018A21-
21018A35-,Val d'Or,0.0,20.0,21018A35-
21018A34-,Val d'Or,0.0,0.0,21018A34-
21018A311,Val d'Or,0.0,21.0,21018A311
21018A33-,Val d'Or,0.0,40.0,21018A33-
21018A63-,Roodebeek - Constellations,0.0,0.0,21018A63-
21018A61-,Georges Henri,0.0,22.0,21018A61-
21018A62-,Georges Henri,0.0,128.0,21018A62-
21018A24-,Georges Henri,0.0,0.0,21018A24-
21018A84-,Kapelleveld,0.0,76.0,21018A84-
21018A01-,Boulevard de la Woluwe,0.0,3.0,21018A01-
21018A14-,Boulevard de la Woluwe,0.0,80.0,21018A14-
21018A13-,Boulevard de la Woluwe,0.0,22.0,21018A13-
21018A12-,Stockel,0.0,225.0,21018A12-
21018A83-,Kapelleveld,0.0,40.0,21018A83-
21018A3MJ,Val d'Or,0.0,169.0,21018A3MJ
21019A231,Boulevard de la Woluwe,0.0,88.0,21019A231
21019A242,Saint-Paul,0.0,2.0,21019A242
21019A252,Saint-Paul,0.0,59.0,21019A252
21019A131,Stockel,0.0,381.0,21019A131
21019A12-,Stockel,0.0,83.0,21019A12-
21019A45-,Saint-Paul,0.0,25.0,21019A45-
21019A51-,Saint-Michel,0.0,488.0,21019A51-
21019A001,Boulevard de la Woluwe,0.0,178.0,21019A001
21019A34-,Chant d'Oiseau,0.0,6.0,21019A34-
21019A30-,Chant d'Oiseau,0.0,4.0,21019A30-
21019A33-,Chant d'Oiseau,0.0,61.0,21019A33-
21019A01-,Boulevard de la Woluwe,0.0,0.0,21019A01-
21019A11-,Stockel,0.0,221.0,21019A11-
21019A31-,Chant d'Oiseau,0.0,16.0,21019A31-
21019A32-,Chant d'Oiseau,0.0,207.0,21019A32-
21019A35-,Chant d'Oiseau,0.0,42.0,21019A35-
21019A20-,Saint-Paul,0.0,68.0,21019A20-
21019A14-,Stockel,0.0,272.0,21019A14-
21019A10-,Stockel,0.0,487.0,21019A10-
21019A21-,Saint-Paul,0.0,56.0,21019A21-
21019A15-,Kapelleveld,0.0,258.0,21019A15-
21019A42-,Saint-Paul,0.0,19.0,21019A42-
